Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
GLAD,Gladstone Capital Corporation,9.65,252014285.5,n/a,2001,Consumer Non-Durables,Textiles,http://www.nasdaq.com/symbol/glad
GLADN,Gladstone Capital Corporation,25.65,0,n/a,n/a,Consumer Non-Durables,Textiles,http://www.nasdaq.com/symbol/gladn
GOOD,Gladstone Commercial Corporation,22.48,643689082.9,n/a,2003,Consumer Services,Real Estate,http://www.nasdaq.com/symbol/good
GOODM,Gladstone Commercial Corporation,26,0,n/a,n/a,Consumer Services,Real Estate,http://www.nasdaq.com/symbol/goodm
GOODO,Gladstone Commercial Corporation,26.1001,30015115,n/a,n/a,Consumer Services,Real Estate,http://www.nasdaq.com/symbol/goodo
GOODP,Gladstone Commercial Corporation,27.25,27250000,n/a,n/a,Consumer Services,Real Estate,http://www.nasdaq.com/symbol/goodp
GAIN,Gladstone Investment Corporation,10.925,355348986.3,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/gain
GAINM,Gladstone Investment Corporation,25.6084,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gainm
GAINN,Gladstone Investment Corporation,25.6399,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gainn
GAINO,Gladstone Investment Corporation,25.33,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gaino
LAND,Gladstone Land Corporation,13.76,183276966.7,n/a,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/land
LANDP,Gladstone Land Corporation,26.001,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/landp
GLBZ,Glen Burnie Bancorp,11.2437,31412064.39,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/glbz
GBT,Global Blood Therapeutics; Inc.,38.45,1679373114,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gbt
GLBR,Global Brokerage; Inc.,1.395,8569910.475,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/glbr
ENT,Global Eagle Entertainment Inc.,1.875,159955770,n/a,2011,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/ent
GBLI,Global Indemnity Limited,42.99,756382783.1,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/gbli
GBLIL,Global Indemnity Limited,25.7769,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/gblil
GBLIZ,Global Indemnity Limited,25.5,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/gbliz
GPAC,Global Partner Acquisition Corp.,10.08,161176881.6,n/a,2015,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/gpac
GPACU,Global Partner Acquisition Corp.,10.8642,0,n/a,2015,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/gpacu
GPACW,Global Partner Acquisition Corp.,1.04,0,n/a,2015,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/gpacw
SELF,Global Self Storage; Inc.,4.77,36344867.13,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/self
GWRS,Global Water Resources; Inc.,9.76,191601156.2,n/a,2016,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/gwrs
KRMA,Global X Conscious Companies ETF,18.65,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/krma
